dataset_key,imbalance_ratio,method,seed,segment,aulc
adult,2.0,direct_displacement,0,full,0.9096682964241204
adult,2.0,direct_displacement,0,early,0.9013996740485092
adult,2.0,direct_displacement,0,mid,0.9096682964241204
adult,2.0,direct_displacement,1,full,0.8898475697440321
adult,2.0,direct_displacement,1,early,0.8738375994631387
adult,2.0,direct_displacement,1,mid,0.8898475697440321
adult,2.0,direct_smote,0,full,0.9036525740580961
adult,2.0,direct_smote,0,early,0.8926277442239477
adult,2.0,direct_smote,0,mid,0.9036525740580961
adult,2.0,direct_smote,1,full,0.8917888984756974
adult,2.0,direct_smote,1,early,0.8719681717956093
adult,2.0,direct_smote,1,mid,0.8917888984756974
adult,2.0,latent_displacement,0,full,0.9114418560061355
adult,2.0,latent_displacement,0,early,0.9142459975074296
adult,2.0,latent_displacement,0,mid,0.9114418560061355
adult,2.0,latent_displacement,1,full,0.8901351740005752
adult,2.0,latent_displacement,1,early,0.8622375611159044
adult,2.0,latent_displacement,1,mid,0.8901351740005752
adult,2.0,latent_smote,0,full,0.9031252995877672
adult,2.0,latent_smote,0,early,0.901351740005752
adult,2.0,latent_smote,0,mid,0.9031252995877672
adult,2.0,latent_smote,1,full,0.8868277250503307
adult,2.0,latent_smote,1,early,0.8568689483271019
adult,2.0,latent_smote,1,mid,0.8868277250503307
adult,2.0,real_balanced,0,full,0.8942814686990701
adult,2.0,real_balanced,0,early,0.8899913718723037
adult,2.0,real_balanced,0,mid,0.8942814686990701
adult,2.0,real_balanced,1,full,0.8558383664078228
adult,2.0,real_balanced,1,early,0.8278209184162593
adult,2.0,real_balanced,1,mid,0.8558383664078228
adult,5.0,direct_displacement,0,full,0.8889847569744032
adult,5.0,direct_displacement,0,early,0.8883136803758028
adult,5.0,direct_displacement,0,mid,0.8889847569744032
adult,5.0,direct_displacement,1,full,0.8660243504937206
adult,5.0,direct_displacement,1,early,0.837599463138721
adult,5.0,direct_displacement,1,mid,0.8660243504937206
adult,5.0,direct_smote,0,full,0.885605406960023
adult,5.0,direct_smote,0,early,0.8879781420765027
adult,5.0,direct_smote,0,mid,0.885605406960023
adult,5.0,direct_smote,1,full,0.8613507813248968
adult,5.0,direct_smote,1,early,0.8363052439842775
adult,5.0,direct_smote,1,mid,0.8613507813248968
adult,5.0,latent_displacement,0,full,0.8856773080241587
adult,5.0,latent_displacement,0,early,0.8863963186655163
adult,5.0,latent_displacement,0,mid,0.8856773080241587
adult,5.0,latent_displacement,1,full,0.8704582494487585
adult,5.0,latent_displacement,1,early,0.8529862908637714
adult,5.0,latent_displacement,1,mid,0.8704582494487585
adult,5.0,latent_smote,0,full,0.8810756399194708
adult,5.0,latent_smote,0,early,0.8810277058767136
adult,5.0,latent_smote,0,mid,0.8810756399194708
adult,5.0,latent_smote,1,full,0.8830649026938933
adult,5.0,latent_smote,1,early,0.8679417122040073
adult,5.0,latent_smote,1,mid,0.8830649026938933
adult,5.0,real_balanced,0,full,0.6893874029335634
adult,5.0,real_balanced,0,early,0.5180711341194516
adult,5.0,real_balanced,0,mid,0.6893874029335634
adult,5.0,real_balanced,1,full,0.7102866455756879
adult,5.0,real_balanced,1,early,0.5933755152909597
adult,5.0,real_balanced,1,mid,0.7102866455756879
bank_marketing,2.0,direct_displacement,0,full,0.9016172506738545
bank_marketing,2.0,direct_displacement,0,early,0.8943733153638814
bank_marketing,2.0,direct_displacement,0,mid,0.9016172506738545
bank_marketing,2.0,direct_displacement,1,full,0.8527628032345014
bank_marketing,2.0,direct_displacement,1,early,0.842823450134771
bank_marketing,2.0,direct_displacement,1,mid,0.8527628032345014
bank_marketing,2.0,direct_smote,0,full,0.9023753369272236
bank_marketing,2.0,direct_smote,0,early,0.8923517520215634
bank_marketing,2.0,direct_smote,0,mid,0.9023753369272236
bank_marketing,2.0,direct_smote,1,full,0.858322102425876
bank_marketing,2.0,direct_smote,1,early,0.8492250673854447
bank_marketing,2.0,direct_smote,1,mid,0.858322102425876
bank_marketing,2.0,latent_displacement,0,full,0.911472371967655
bank_marketing,2.0,latent_displacement,0,early,0.9012803234501348
bank_marketing,2.0,latent_displacement,0,mid,0.911472371967655
bank_marketing,2.0,latent_displacement,1,full,0.8754211590296497
bank_marketing,2.0,latent_displacement,1,early,0.8886455525606469
bank_marketing,2.0,latent_displacement,1,mid,0.8754211590296497
bank_marketing,2.0,latent_smote,0,full,0.8977425876010782
bank_marketing,2.0,latent_smote,0,early,0.8982479784366577
bank_marketing,2.0,latent_smote,0,mid,0.8977425876010782
bank_marketing,2.0,latent_smote,1,full,0.8689353099730457
bank_marketing,2.0,latent_smote,1,early,0.8729784366576818
bank_marketing,2.0,latent_smote,1,mid,0.8689353099730457
bank_marketing,2.0,real_balanced,0,full,0.8862870619946092
bank_marketing,2.0,real_balanced,0,early,0.8733153638814015
bank_marketing,2.0,real_balanced,0,mid,0.8862870619946092
bank_marketing,2.0,real_balanced,1,full,0.8289673180592991
bank_marketing,2.0,real_balanced,1,early,0.8090464959568734
bank_marketing,2.0,real_balanced,1,mid,0.8289673180592991
bank_marketing,5.0,direct_displacement,0,full,0.8998483827493261
bank_marketing,5.0,direct_displacement,0,early,0.8985849056603774
bank_marketing,5.0,direct_displacement,0,mid,0.8998483827493261
bank_marketing,5.0,direct_displacement,1,full,0.831199460916442
bank_marketing,5.0,direct_displacement,1,early,0.8064353099730458
bank_marketing,5.0,direct_displacement,1,mid,0.831199460916442
bank_marketing,5.0,direct_smote,0,full,0.8977425876010782
bank_marketing,5.0,direct_smote,0,early,0.8942048517520216
bank_marketing,5.0,direct_smote,0,mid,0.8977425876010782
bank_marketing,5.0,direct_smote,1,full,0.8376010781671159
bank_marketing,5.0,direct_smote,1,early,0.8025606469002695
bank_marketing,5.0,direct_smote,1,mid,0.8376010781671159
bank_marketing,5.0,latent_displacement,0,full,0.8919305929919138
bank_marketing,5.0,latent_displacement,0,early,0.8756738544474394
bank_marketing,5.0,latent_displacement,0,mid,0.8919305929919138
bank_marketing,5.0,latent_displacement,1,full,0.8269036388140161
bank_marketing,5.0,latent_displacement,1,early,0.8360849056603774
bank_marketing,5.0,latent_displacement,1,mid,0.8269036388140161
bank_marketing,5.0,latent_smote,0,full,0.8778638814016173
bank_marketing,5.0,latent_smote,0,early,0.8379380053908356
bank_marketing,5.0,latent_smote,0,mid,0.8778638814016173
bank_marketing,5.0,latent_smote,1,full,0.8145215633423181
bank_marketing,5.0,latent_smote,1,early,0.7820080862533693
bank_marketing,5.0,latent_smote,1,mid,0.8145215633423181
bank_marketing,5.0,real_balanced,0,full,0.8192806603773586
bank_marketing,5.0,real_balanced,0,early,0.7933793800539084
bank_marketing,5.0,real_balanced,0,mid,0.8192806603773586
bank_marketing,5.0,real_balanced,1,full,0.8121630727762803
bank_marketing,5.0,real_balanced,1,early,0.7914420485175203
bank_marketing,5.0,real_balanced,1,mid,0.8121630727762803
