dataset_key,imbalance_ratio,training_size,method,roc_auc,pr_auc,balanced_accuracy,f1,brier
adult,2.0,128,direct_displacement,0.8876186367558239,0.6754918287594982,0.7848001150417026,0.6508981299212598,0.1412692848608217
adult,2.0,128,direct_smote,0.8822979580097785,0.675511059733259,0.7814926660914582,0.6505161290322581,0.14004446763608797
adult,2.0,128,latent_displacement,0.888241779311667,0.6951456364737217,0.7768190969226344,0.646774193548387,0.1310488186253001
adult,2.0,128,latent_smote,0.879110344166427,0.6802923818776636,0.7699884958297383,0.6332902391725921,0.14003084631328636
adult,2.0,128,real_balanced,0.8589061451442814,0.6570214753903811,0.7819240724762726,0.6255411255411255,0.16058751559045265
adult,2.0,256,direct_displacement,0.9118972294123286,0.7603004432497702,0.8124820247339661,0.683736901308389,0.1279343689808256
adult,2.0,256,direct_smote,0.913143514524015,0.7723184758297847,0.8124820247339661,0.6844473388194896,0.12585698482592816
adult,2.0,256,latent_displacement,0.9133352506950437,0.743719582756029,0.8132729364394593,0.6930995043842928,0.1186818104092753
adult,2.0,256,latent_smote,0.9108426804716709,0.733370006115686,0.8001150417026173,0.677425652371966,0.11763273963417689
adult,2.0,256,real_balanced,0.8912136899626114,0.7142258382508562,0.819096922634455,0.6835901595025683,0.14075551055769445
adult,5.0,128,direct_displacement,0.8629565717572619,0.6800591993287479,0.7600661489790048,0.626984126984127,0.14284052495818045
adult,5.0,128,direct_smote,0.8621416930303901,0.6576327693946162,0.7354040839804429,0.5918114143920595,0.14574554641747506
adult,5.0,128,latent_displacement,0.8696913047646438,0.6698373176475936,0.7002444636180616,0.542311661506708,0.14007223981011005
adult,5.0,128,latent_smote,0.8744847090403605,0.6807050057338346,0.7016105838366408,0.5508589276418532,0.1372996899045305
adult,5.0,128,real_balanced,0.5557233247052056,0.2690385998573759,0.5557233247052056,0.36147204292061363,0.249881724578001
adult,5.0,256,direct_displacement,0.8920525357108618,0.7375688700481814,0.7592033362093759,0.6391855807743658,0.1284158474867277
adult,5.0,256,direct_smote,0.8848144952545298,0.7231861613840618,0.7389272361230945,0.608392796466191,0.1327919173418184
adult,5.0,256,latent_displacement,0.8864442527082734,0.71968418344805,0.733966062697728,0.6061783203847577,0.1302188753568288
adult,5.0,256,latent_smote,0.8896558335730035,0.7460685732048624,0.7421627840092033,0.624203197018731,0.1198997488521017
adult,5.0,256,real_balanced,0.8439507238040456,0.6355586498570814,0.7576215127983894,0.5879984051036683,0.18791427136733985
bank_marketing,2.0,128,direct_displacement,0.8685983827493262,0.4712140102964439,0.7865566037735849,0.48927901366925763,0.13533575378639479
bank_marketing,2.0,128,direct_smote,0.870788409703504,0.49569431307622575,0.7841981132075472,0.4824515453116815,0.1380364833579537
bank_marketing,2.0,128,latent_displacement,0.8949629380053908,0.5542716657954259,0.8163746630727763,0.5062220611332608,0.13272681903872152
bank_marketing,2.0,128,latent_smote,0.8856132075471698,0.5486178722637033,0.8165431266846361,0.48431174089068824,0.148961740316932
bank_marketing,2.0,128,real_balanced,0.8411809299191375,0.4409754192233655,0.7638140161725068,0.41281468384272124,0.18227047117905998
bank_marketing,2.0,256,direct_displacement,0.8857816711590296,0.4751707730217738,0.8258086253369272,0.5353764157228514,0.1371986683383031
bank_marketing,2.0,256,direct_smote,0.8899090296495956,0.47820973873642,0.8256401617250674,0.5671592775041051,0.11943035957822154
bank_marketing,2.0,256,latent_displacement,0.8919305929919137,0.48849600583460306,0.8138477088948787,0.5334008097165992,0.12482957469644045
bank_marketing,2.0,256,latent_smote,0.8810646900269541,0.47704924989785547,0.8185646900269542,0.5411392405063291,0.11995634525725804
bank_marketing,2.0,256,real_balanced,0.8740734501347709,0.48671742225954395,0.7912735849056604,0.4988620199146515,0.13733027664871167
bank_marketing,5.0,128,direct_displacement,0.8525101078167117,0.46416235282916096,0.7505053908355795,0.5039525691699605,0.1115875674565153
bank_marketing,5.0,128,direct_smote,0.8483827493261455,0.4636290285974589,0.7319743935309972,0.48816263510036023,0.1104110589277017
bank_marketing,5.0,128,latent_displacement,0.8558793800539084,0.45438338651710897,0.7631401617250675,0.49324324324324326,0.1255912211503602
bank_marketing,5.0,128,latent_smote,0.8099730458221024,0.3710941798966233,0.7222035040431267,0.4330963154492566,0.14526856124644144
bank_marketing,5.0,128,real_balanced,0.7924107142857144,0.30405872012605195,0.7774595687331536,0.43019395421981477,0.19419416359548197
bank_marketing,5.0,256,direct_displacement,0.8785377358490565,0.4729749139393292,0.7481469002695418,0.499137187230371,0.1064335609603089
bank_marketing,5.0,256,direct_smote,0.8869609164420486,0.4872913017340931,0.7425876010781671,0.5349390425215581,0.09313482237240125
bank_marketing,5.0,256,latent_displacement,0.8629548517520216,0.42074383423148654,0.7403975741239892,0.4890254609306409,0.10873295342822314
bank_marketing,5.0,256,latent_smote,0.8824123989218329,0.4928274135290594,0.7545485175202157,0.5426731078904992,0.09514536631859286
bank_marketing,5.0,256,real_balanced,0.8390330188679245,0.37701427432508194,0.7596024258760108,0.4129322512350035,0.18805106286896328
