dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
adult,2.0,early,latent_displacement,latent_smote,0.000313168300957245,-0.0014544376430955974,0.0022017473211413566,10,True
adult,2.0,early,direct_displacement,direct_smote,-0.0012894541446870854,-0.0035065218042954556,0.0012115228070747961,10,True
adult,2.0,early,latent_smote,direct_smote,-0.0010786446855948096,-0.0034077918483025934,0.001008413561859183,10,True
adult,2.0,early,latent_displacement,direct_displacement,0.0005239777600495211,-0.002033121439385177,0.0025068110596754407,10,True
adult,2.0,early,direct_smote,real_balanced,-0.009924537724894166,-0.01257146136106447,-0.0072792849290743995,10,True
adult,2.0,early,direct_displacement,real_balanced,-0.011213991869581252,-0.014014715881848811,-0.008806695842409016,10,False
adult,2.0,early,latent_smote,real_balanced,-0.011003182410488976,-0.013945904471853133,-0.007772503077680303,10,False
adult,2.0,early,latent_displacement,real_balanced,-0.010690014109531732,-0.013978556128721358,-0.00740206222108518,10,False
adult,2.0,full,latent_displacement,latent_smote,0.0002432477950754075,-0.00020091739590986007,0.0007796642230648695,10,True
adult,2.0,full,direct_displacement,direct_smote,0.00033744627215759326,-0.00024076157606193885,0.0008298600586420643,10,True
adult,2.0,full,latent_smote,direct_smote,0.0008371387258857332,0.00020246093246313712,0.0015690865250107722,10,True
adult,2.0,full,latent_displacement,direct_displacement,0.0007429402488035475,0.00026856699203561677,0.0012183760596882682,10,True
adult,2.0,full,direct_smote,real_balanced,-0.00790725252926483,-0.00877650476681367,-0.0071156809952796305,10,True
adult,2.0,full,direct_displacement,real_balanced,-0.007569806257107237,-0.008309458884411997,-0.006886454893875871,10,True
adult,2.0,full,latent_smote,real_balanced,-0.007070113803379097,-0.007766919326616078,-0.00641343116290852,10,True
adult,2.0,full,latent_displacement,real_balanced,-0.006826866008303689,-0.007433872774125541,-0.006144391216555869,10,True
adult,2.0,mid,latent_displacement,latent_smote,0.0002601633091344202,-0.0001897024617758064,0.0007754871403131622,10,True
adult,2.0,mid,direct_displacement,direct_smote,-0.00033949392236605204,-0.001203754780643818,0.0004401122828768513,10,True
adult,2.0,mid,latent_smote,direct_smote,-4.198077403370082e-05,-0.000777710668172741,0.0007676447444975034,10,True
adult,2.0,mid,latent_displacement,direct_displacement,0.0005576764574667714,-0.00021485769959042803,0.0014106492095136076,10,True
adult,2.0,mid,direct_smote,real_balanced,-0.006349601028267959,-0.007369782101956741,-0.0054384295176238264,10,True
adult,2.0,mid,direct_displacement,real_balanced,-0.006689094950634011,-0.007370579188661588,-0.005976811216442299,10,True
adult,2.0,mid,latent_smote,real_balanced,-0.00639158180230166,-0.007078491188592041,-0.0058511429165512266,10,True
adult,2.0,mid,latent_displacement,real_balanced,-0.00613141849316724,-0.0069342635132503974,-0.005315459966547035,10,True
adult,3.0,early,latent_displacement,latent_smote,0.0004033013725051937,-0.0008512501074040721,0.0019768932589179903,10,True
adult,3.0,early,direct_displacement,direct_smote,0.00037698769199102645,-0.001572467006156565,0.0024128679578168575,10,True
adult,3.0,early,latent_smote,direct_smote,-0.002147074149015482,-0.0033477243876636345,-0.0005250157862891893,10,True
adult,3.0,early,latent_displacement,direct_displacement,-0.0021207604685013147,-0.004623240261820804,-0.00019850743763356277,10,True
adult,3.0,early,direct_smote,real_balanced,-0.013264916655199155,-0.015268700995527752,-0.011576344923651885,10,False
adult,3.0,early,direct_displacement,real_balanced,-0.012887928963208128,-0.01529126685566035,-0.01059539501443424,10,False
adult,3.0,early,latent_smote,real_balanced,-0.015411990804214636,-0.016767766922239326,-0.013946190317681182,10,False
adult,3.0,early,latent_displacement,real_balanced,-0.015008689431709443,-0.016940732082478555,-0.012962447486503954,10,False
adult,3.0,full,latent_displacement,latent_smote,9.89908272264306e-05,-0.0005402176817425369,0.000796812879894219,10,True
adult,3.0,full,direct_displacement,direct_smote,0.0008896474029500446,0.00017021101313659888,0.0015327493184605948,10,True
adult,3.0,full,latent_smote,direct_smote,0.0009670897769173293,0.0003647591336884559,0.0016497327774898222,10,True
adult,3.0,full,latent_displacement,direct_displacement,0.00017643320119371532,-0.0005783305217216428,0.0010025974623074326,10,True
adult,3.0,full,direct_smote,real_balanced,-0.011830448873754474,-0.012347501230466608,-0.011105810866028257,10,False
adult,3.0,full,direct_displacement,real_balanced,-0.010940801470804428,-0.011461526154789924,-0.01041666763473211,10,False
adult,3.0,full,latent_smote,real_balanced,-0.010863359096837144,-0.011391627965587299,-0.010204150030654844,10,False
adult,3.0,full,latent_displacement,real_balanced,-0.010764368269610714,-0.011363888317289678,-0.00996464971585883,10,False
adult,3.0,mid,latent_displacement,latent_smote,-0.00033141995848561255,-0.0009721945840263771,0.000355844072376901,10,True
