segment,imbalance_ratio,method,mean_rank
early,2.0,direct_displacement,4.0
early,2.0,direct_smote,3.0
early,2.0,latent_displacement,3.0
early,2.0,latent_smote,4.0
early,2.0,real_balanced,1.0
full,2.0,direct_displacement,3.6666666666666665
full,2.0,direct_smote,4.0
full,2.0,latent_displacement,3.0
full,2.0,latent_smote,3.3333333333333335
full,2.0,real_balanced,1.0
mid,2.0,direct_displacement,4.0
mid,2.0,direct_smote,4.0
mid,2.0,latent_displacement,3.0
mid,2.0,latent_smote,3.0
mid,2.0,real_balanced,1.0
early,3.0,direct_displacement,3.0
early,3.0,direct_smote,2.6666666666666665
early,3.0,latent_displacement,3.6666666666666665
early,3.0,latent_smote,4.666666666666667
early,3.0,real_balanced,1.0
full,3.0,direct_displacement,2.6666666666666665
full,3.0,direct_smote,4.333333333333333
full,3.0,latent_displacement,3.3333333333333335
full,3.0,latent_smote,3.6666666666666665
full,3.0,real_balanced,1.0
mid,3.0,direct_displacement,2.0
mid,3.0,direct_smote,4.0
mid,3.0,latent_displacement,4.333333333333333
mid,3.0,latent_smote,3.6666666666666665
mid,3.0,real_balanced,1.0
early,5.0,direct_displacement,3.0
early,5.0,direct_smote,2.6666666666666665
early,5.0,latent_displacement,4.0
early,5.0,latent_smote,4.333333333333333
early,5.0,real_balanced,1.0
full,5.0,direct_displacement,2.6666666666666665
full,5.0,direct_smote,3.6666666666666665
full,5.0,latent_displacement,3.6666666666666665
full,5.0,latent_smote,4.0
full,5.0,real_balanced,1.0
mid,5.0,direct_displacement,2.3333333333333335
mid,5.0,direct_smote,3.0
mid,5.0,latent_displacement,3.6666666666666665
mid,5.0,latent_smote,5.0
mid,5.0,real_balanced,1.0
early,10.0,direct_displacement,2.6666666666666665
early,10.0,direct_smote,3.0
early,10.0,latent_displacement,3.3333333333333335
early,10.0,latent_smote,5.0
early,10.0,real_balanced,1.0
full,10.0,direct_displacement,2.3333333333333335
full,10.0,direct_smote,3.6666666666666665
full,10.0,latent_displacement,3.3333333333333335
full,10.0,latent_smote,4.666666666666667
full,10.0,real_balanced,1.0
mid,10.0,direct_displacement,2.0
mid,10.0,direct_smote,3.6666666666666665
mid,10.0,latent_displacement,3.6666666666666665
mid,10.0,latent_smote,4.666666666666667
mid,10.0,real_balanced,1.0
