dataset_key,imbalance_ratio,method,training_size,metric,method_score,real_equivalent_size,real_equivalent_fraction
adult,2.0,direct_displacement,512,roc_auc,0.8788425035736965,350.5355171975025,0.684639682026372
adult,2.0,direct_smote,512,roc_auc,0.8803447163153033,380.16249054899714,0.74250486435351
adult,2.0,latent_displacement,512,roc_auc,0.8798979575491982,371.35141493277956,0.7252957322905851
adult,2.0,latent_smote,512,roc_auc,0.8802302423696275,377.9048099661865,0.738095331965208
adult,2.0,direct_displacement,1024,roc_auc,0.887833743955114,572.1286002685929,0.5587193361997977
adult,2.0,direct_smote,1024,roc_auc,0.888298704482866,606.8881667839422,0.5926642253749436
adult,2.0,latent_displacement,1024,roc_auc,0.8882482738199995,603.1180661502478,0.5889824864748514
adult,2.0,latent_smote,1024,roc_auc,0.8877502950125971,565.8901157200663,0.5526270661328773
adult,2.0,direct_displacement,2048,roc_auc,0.9005466247329739,1526.9969294273405,0.7456039694469436
adult,2.0,direct_smote,2048,roc_auc,0.9001165593376406,1494.5572911257552,0.7297643023074977
adult,2.0,latent_displacement,2048,roc_auc,0.9010701323202952,1566.4848700175812,0.7648851904382721
adult,2.0,latent_smote,2048,roc_auc,0.9008704681937809,1551.4242952393997,0.7575313941598631
adult,2.0,direct_displacement,4096,roc_auc,0.9094073413268753,2425.58473675009,0.5921837736206275
adult,2.0,direct_smote,4096,roc_auc,0.9077403787818967,2103.3950260366682,0.5135241762784835
adult,2.0,latent_displacement,4096,roc_auc,0.9107023505463546,2675.8834894437987,0.6532918675399899
adult,2.0,latent_smote,4096,roc_auc,0.9104583724802773,2628.7275273817413,0.6417791814896829
adult,3.0,direct_displacement,512,roc_auc,0.8777334882886179,328.258768748947,0.6411304077127871
adult,3.0,direct_smote,512,roc_auc,0.8788238463522093,350.08368646674387,0.6837572001303591
adult,3.0,latent_displacement,512,roc_auc,0.8765508637847045,304.5870196687015,0.5948965227904326
adult,3.0,latent_smote,512,roc_auc,0.8770688585168254,314.95534983865775,0.6151471676536284
adult,3.0,direct_displacement,1024,roc_auc,0.8889606104512886,606.3042835769356,0.5920940269306012
adult,3.0,direct_smote,1024,roc_auc,0.8891461655578097,614.8504822188977,0.6004399240418923
adult,3.0,latent_displacement,1024,roc_auc,0.8887502532535825,596.6157633789811,0.5826325814247862
adult,3.0,latent_smote,1024,roc_auc,0.889108386699324,613.1104835999519,0.598740706640578
adult,3.0,direct_displacement,2048,roc_auc,0.8991797743999943,1121.0467648189292,0.5473861156342428
adult,3.0,direct_smote,2048,roc_auc,0.8974384529185789,996.7722536540447,0.486705201979514
adult,3.0,latent_displacement,2048,roc_auc,0.8990675547246513,1111.5779715503409,0.5427626814210649
adult,3.0,latent_smote,2048,roc_auc,0.8992656170654353,1128.2899371966841,0.5509228208968184
adult,3.0,direct_displacement,4096,roc_auc,0.9069953411575875,1780.5031897131325,0.43469316155105775
adult,3.0,direct_smote,4096,roc_auc,0.9059536366958568,1692.606979312032,0.4132341258086016
adult,3.0,latent_displacement,4096,roc_auc,0.9088089093164617,1933.5271752342367,0.47205253301617106
adult,3.0,latent_smote,4096,roc_auc,0.9078433267789763,1852.05392730992,0.45216160334714844
adult,5.0,direct_displacement,1024,roc_auc,0.8834716016439745,349.23909698117313,0.3410538056456769
