trial,candidate_id,mean_direct_roc_auc,mean_latent_roc_auc,objective_mean_delta_vs_direct,best_delta_so_far,best_trial_so_far,delta_std,wins_vs_direct,comparisons,optimizer_phase,mimic_capacity,n_neighbors,lambda_low,lambda_high,mimic_mode
0,mode=factorised|capacity=0.857496|neighbors=14|lambda=0.268748:1.09237,0.649316963286092,0.6231493014282347,-0.02616766185785735,-0.02616766185785735,0,0.01795572256989947,0,2,initial,0.8574956163787565,14,0.2687480358770065,1.0923739052690693,factorised
14,mode=factorised|capacity=0.842417|neighbors=14|lambda=0.265474:1.09066,0.649316963286092,0.6210903015148097,-0.028226661771282247,-0.02616766185785735,0,0.027967657715832372,0,2,bayesian,0.842416599149889,14,0.2654739683831524,1.0906584458328794,factorised
16,mode=factorised|capacity=0.82083|neighbors=12|lambda=0.265209:1.0987,0.649316963286092,0.6202688922549922,-0.029048071031099798,-0.02616766185785735,0,0.04794505612514495,1,2,bayesian,0.8208300028958411,12,0.26520919530219683,1.0986972346950117,factorised
11,mode=factorised|capacity=0.933705|neighbors=14|lambda=0.270058:1.08901,0.649316963286092,0.6162187200423649,-0.03309824324372712,-0.02616766185785735,0,0.026391188469214264,0,2,bayesian,0.9337054534622685,14,0.270057748066888,1.0890129440498106,factorised
5,mode=factorised|capacity=0.815763|neighbors=14|lambda=0.194505:0.933945,0.649316963286092,0.608787594034456,-0.04052936925163603,-0.02616766185785735,0,0.0151773146814083,0,2,initial,0.8157628158457987,14,0.19450504550126507,0.9339448105607453,factorised
1,mode=factorised|capacity=0.868247|neighbors=12|lambda=0.145458:0.573814,0.649316963286092,0.6037807786230952,-0.045536184662996804,-0.02616766185785735,0,0.004689861955181543,0,2,initial,0.8682472938750904,12,0.14545761343978392,0.5738141020985055,factorised
8,mode=factorised|capacity=0.956437|neighbors=14|lambda=0.29104:1.05287,0.649316963286092,0.6033630173935701,-0.045953945892521886,-0.02616766185785735,0,0.007639560436417563,0,2,bayesian,0.9564366641857605,14,0.2910398114215962,1.052873411083287,factorised
18,mode=factorised|capacity=0.873862|neighbors=14|lambda=0.270594:1.10178,0.649316963286092,0.6025409235382675,-0.046776039747824516,-0.02616766185785735,0,0.011724245280014697,0,2,bayesian,0.8738619318217159,14,0.2705943497859751,1.1017771476260956,factorised
12,mode=factorised|capacity=0.851165|neighbors=10|lambda=0.276835:1.10543,0.649316963286092,0.5986151370591758,-0.05070182622691621,-0.02616766185785735,0,0.014708872147336769,0,2,bayesian,0.8511653528196924,10,0.2768353876480943,1.1054262030662958,factorised
6,mode=factorised|capacity=0.902398|neighbors=14|lambda=0.0949558:0.988434,0.649316963286092,0.5976633913512208,-0.05165357193487119,-0.02616766185785735,0,0.015035590334454535,0,2,bayesian,0.9023981849816414,14,0.09495580568370449,0.9884341480995023,factorised
3,mode=factorised|capacity=0.787475|neighbors=14|lambda=0.154227:0.878313,0.649316963286092,0.5965508710266341,-0.052766092259457886,-0.02616766185785735,0,0.002970923619902368,0,2,initial,0.7874746786352904,14,0.15422715529179903,0.8783130913173978,factorised
15,mode=factorised|capacity=0.819323|neighbors=12|lambda=0.252174:1.07484,0.649316963286092,0.5956225595487483,-0.05369440373734363,-0.02616766185785735,0,0.007369517093246909,0,2,bayesian,0.8193232898219448,12,0.25217406151372657,1.0748396394833257,factorised
21,mode=factorised|capacity=0.681182|neighbors=14|lambda=0.266626:1.08963,0.649316963286092,0.5949590285400485,-0.05435793474604356,-0.02616766185785735,0,0.005740618030414802,0,2,bayesian,0.6811818223952433,14,0.2666258859027101,1.089631700373146,factorised
7,mode=factorised|capacity=0.993208|neighbors=11|lambda=0.290992:0.975903,0.649316963286092,0.5942234043606416,-0.05509355892545048,-0.02616766185785735,0,0.03239559401245611,0,2,bayesian,0.993208093430356,11,0.2909919587270761,0.9759027555598616,factorised
17,mode=factorised|capacity=0.959171|neighbors=14|lambda=0.265041:1.05741,0.649316963286092,0.5938209675377459,-0.05549599574834607,-0.02616766185785735,0,0.00259013718481356,0,2,bayesian,0.9591707212321801,14,0.2650406122886759,1.057405359884118,factorised
19,mode=factorised|capacity=0.708835|neighbors=12|lambda=0.169082:1.0093,0.649316963286092,0.5877822034242834,-0.06153475986180856,-0.02616766185785735,0,0.009384862628145545,0,2,bayesian,0.7088346261578825,12,0.16908196161520084,1.0093015977496635,factorised
9,mode=factorised|capacity=0.810373|neighbors=14|lambda=0.29628:0.718299,0.649316963286092,0.5876664541260991,-0.06165050915999293,-0.02616766185785735,0,0.0015677557686392903,0,2,bayesian,0.8103728111575065,14,0.296280452718945,0.7182987510816587,factorised
13,mode=factorised|capacity=0.697574|neighbors=11|lambda=0.271188:1.08071,0.649316963286092,0.5871377884279771,-0.062179174858114916,-0.02616766185785735,0,0.020421264467033916,0,2,bayesian,0.6975735838980663,11,0.27118763218761616,1.0807108097517872,factorised
22,mode=factorised|capacity=0.696539|neighbors=14|lambda=0.195397:0.921967,0.649316963286092,0.5859076756635152,-0.0634092876225768,-0.02616766185785735,0,0.022242828209618634,0,2,bayesian,0.696538966258218,14,0.19539723035355216,0.921967005273176,factorised
10,mode=factorised|capacity=0.847041|neighbors=14|lambda=0.27015:1.14793,0.649316963286092,0.5835756801350822,-0.06574128315100974,-0.02616766185785735,0,0.010324652188948371,0,2,bayesian,0.8470408162843428,14,0.27014968662655514,1.1479254234140386,factorised
4,mode=factorised|capacity=0.778885|neighbors=15|lambda=0.110877:0.945921,0.649316963286092,0.5806966401528102,-0.06862032313328187,-0.02616766185785735,0,0.011322233706259932,0,2,initial,0.7788845389441919,15,0.11087717169078193,0.9459208008700002,factorised
20,mode=factorised|capacity=0.830884|neighbors=12|lambda=0.261986:1.10172,0.649316963286092,0.5795300367848952,-0.06978692650119683,-0.02616766185785735,0,0.03232551381777212,0,2,bayesian,0.8308835468245797,12,0.261986102950733,1.1017233240588609,factorised
2,mode=factorised|capacity=0.74543|neighbors=12|lambda=0.258677:0.898666,0.649316963286092,0.5767050271847601,-0.07261193610133188,-0.02616766185785735,0,0.022294960129149652,0,2,initial,0.7454297031030397,12,0.2586771203306085,0.8986657065181373,factorised
23,mode=factorised|capacity=0.999904|neighbors=12|lambda=0.267484:1.13628,0.649316963286092,0.5739193028332352,-0.07539766045285679,-0.02616766185785735,0,0.009639042972944663,0,2,bayesian,0.9999038776636735,12,0.26748396071762304,1.1362840180762936,factorised
